anio,superficie_agua_ha,temporada,umbral
2019,101.1746232680257,verano,-0.1
2019,43.206471346734745,verano,0.0
2019,33.8870870471431,verano,0.1
2019,75.75922180928542,invierno,-0.1
2019,50.41540763409782,invierno,0.0
2019,45.5350939420214,invierno,0.1
2020,81.3354600281479,verano,-0.1
2020,40.89586438811658,verano,0.0
2020,33.47816437417424,verano,0.1
2020,159.25036771274932,invierno,-0.1
2020,117.94870413129024,invierno,0.0
2020,100.02771138059128,invierno,0.1
2021,103.16349052271227,verano,-0.1
2021,50.12752081045111,verano,0.0
2021,38.93448863934686,verano,0.1
2021,78.25288182997755,invierno,-0.1
2021,50.48831776449764,invierno,0.0
2021,43.92541809646905,invierno,0.1
2022,82.00458343058261,verano,-0.1
2022,41.35905907961378,verano,0.0
2022,34.259655270301984,verano,0.1
2022,79.83007791477571,invierno,-0.1
2022,56.432934120902246,invierno,0.0
2022,48.811628243312455,invierno,0.1
2023,88.28669529095812,verano,-0.1
2023,45.92951255639169,verano,0.0
2023,37.95320071688784,verano,0.1
2023,91.28985265391627,invierno,-0.1
2023,62.01233586048794,invierno,0.0
2023,52.89736339003618,invierno,0.1
2024,86.80200870329008,verano,-0.1
2024,42.84143431195427,verano,0.0
2024,36.60119289668066,verano,0.1
2024,111.5271093515194,invierno,-0.1
2024,73.66980528390917,invierno,0.0
2024,60.13645070827105,invierno,0.1
2025,103.25388949441349,verano,-0.1
2025,46.30373861646464,verano,0.0
2025,34.376947469290954,verano,0.1
2025,88.21103274537325,invierno,-0.1
2025,57.54991395491053,invierno,0.0
2025,51.09012209969313,invierno,0.1
