anio,superficie_agua_ha,temporada,umbral,precipitacion_mm,ndvi_media,ndvi_mediana,mndwi_media,mndwi_mediana
2019,50.41540763409782,invierno,0.0,140.5725989504294,0.33569839300469084,0.3475579490497236,-0.4261120512777622,-0.5663522036423594
2019,43.206471346734745,verano,0.0,10.892393003810538,0.3401504966556258,0.33974365222860525,-0.36052584455785003,-0.44929797841370356
2020,117.94870413129024,invierno,0.0,287.038636578761,0.3848436879346753,0.4175762633059787,-0.2785496479234115,-0.45720702288246556
2020,40.89586438811658,verano,0.0,6.044499534549136,0.2738505356930344,0.26926609349043507,-0.38605827110379193,-0.47276528162466497
2021,50.48831776449764,invierno,0.0,110.03405748714103,0.3660117185222571,0.4023920001134102,-0.412865407609831,-0.543306868507312
2021,50.12752081045111,verano,0.0,18.437131534923207,0.3829071810178884,0.37886766553160556,-0.3332344073955446,-0.41031946914794304
2022,56.432934120902246,invierno,0.0,176.49667102707883,0.3483608073514282,0.3554395533279136,-0.40085018076428275,-0.5195715276448963
2022,41.35905907961378,verano,0.0,12.84206836873835,0.33453629658045486,0.3241820332520811,-0.370001078850779,-0.449445362663596
2023,62.01233586048794,invierno,0.0,287.9984273043546,0.43976944271242663,0.4410778765227873,-0.37809143959553587,-0.4882156973276256
2023,45.92951255639169,verano,0.0,6.90884085857507,0.3584566419405958,0.33956659714547494,-0.3591358021768714,-0.4333571945070213
2024,73.66980528390917,invierno,0.0,350.84748771888053,0.404555259801365,0.43368696198269785,-0.372102062849241,-0.5120193028126404
2024,42.84143431195427,verano,0.0,7.657081163290776,0.37564965290420305,0.3553151933273271,-0.3595211260610015,-0.43368495957334435
2025,57.54991395491053,invierno,0.0,227.62848869524237,0.4253855798340019,0.4414802841098424,-0.38988154450148216,-0.5196093788090762
2025,46.30373861646464,verano,0.0,14.116442284548834,0.36523336337576656,0.35527820693296197,-0.343467180812891,-0.4101561490687821
